"id (S)","created_at (N)","link (S)","price (S)","temp (S)","title (S)"
"thread_497290","1599834627342","https://www.promodescuentos.com/ofertas/amazon-mx-firestick-497290","$699","665°","Amazon MX: Fire TV Stick - Reproductor de media con control remoto sin Alexa"
"thread_503861","1599600626208","https://www.promodescuentos.com/ofertas/linioxiaomi-black-shark-3-667-amoled-8-128gb-64mp-5g-smartphone-con-paypal-y-banorte-503861","$11,882","232°","Linio:Xiaomi Black Shark 3 6.67"" AMOLED 8 + 128GB 64MP 5G Smartphone (con Paypal y Banorte)"
"thread_503907","1599615025928","https://www.promodescuentos.com/ofertas/walmart-laptop-lenovo-r5-3500-2-tb-disco-duro-503907","$13,799","117°","Walmart: Laptop Lenovo R5 3500 2 TB Disco Duro"
"thread_503919","1599636626797","https://www.promodescuentos.com/ofertas/cyberpuerta-router-tp-link-gigabit-de-banda-dual-ac1750-archer-c7-inalambrico-1300mbits-4x-rj-45-245ghz-503919","$1,289","100°","CyberPuerta: Router TP-Link Gigabit de Banda Dual AC1750 ARCHER C7, Inalámbrico, 1300Mbit/s, 4x RJ-45, 2.4/5GHz"
"thread_504021","1599637825663","https://www.promodescuentos.com/ofertas/ssd-teamgroup-960gb-504021","$1,799","104°","PCEL: SSD TEAMGROUP 960GB"
"thread_504200","1599693026876","https://www.promodescuentos.com/ofertas/proyector-portatil-led-mini-504200","$799","103°","Privalia: PROYECTOR PORTATIL LED MINI"
"thread_504202","1599684626034","https://www.promodescuentos.com/ofertas/huawei-p30-pro-256-gb-movistar-504202","$12,149","170°","Movistar: HUAWEI P30 PRO 256 GB MOVISTAR"
"thread_504267","1599691825448","https://www.promodescuentos.com/ofertas/huawei-p20-lite-en-liquidacion-att-1999-facil-de-liberar-mediante-chat-504267","$1,999","true","HUAWEI P20 LITE EN LIQUIDACION AT&T $1999 FACIL DE LIBERAR MEDIANTE CHAT"
"thread_504348","1599712226374","https://www.promodescuentos.com/ofertas/linio-apple-airpods-pro-con-paypal-y-banorte-504348","$4,250","143°","Linio: Apple Airpods PRO (con PayPal y Banorte)"
"thread_504380","1599718226023","https://www.promodescuentos.com/ofertas/49sm8055pua-504380","$9,205","109°","Sam's Club: Pantalla LG 49 Pulgadas Smart TV NanoCell AI ThinQ"
"thread_504469","1599750627021","https://www.promodescuentos.com/ofertas/eneba-borderlands-goty-xbox-one-global-key-504469","$72","120°","Eneba: Borderlands (GOTY) Xbox one Global Key"
"thread_504534","1599775826016","https://www.promodescuentos.com/ofertas/memoria-kingston-hyperx-fury-ddr4-pc4-21300-2666mhz-cl16-8gb-504534","$799","106°","Pcel: Memoria Kingston HyperX Fury DDR4 PC4-21300 (2666MHz), CL16, 8GB."
